# Open English WordNet 2024 (CC BY 4.0): antonym lemma pairs. See THIRD_PARTY.md
a_la_carte	prix_fixe
comprehensibility	incomprehensibility
comprehension	incomprehension
comprehensive	incomprehensive
comprehensively	noncomprehensively
compressibility	incompressibility
compressible	incompressible
compressing	decompressing
compression	decompression
compromising	inflexible
computer_hardware	computer_software
con	pro
concave_polygon	convex_polygon
concavely	convexly
conceal	show
concealed	unconcealed
concealing	revealing
conceit	humbleness
concentrate	decentralise
concentrated	diffused
concentrated	distributed
concentrated	unsaturated
concentration	dilution
concentric	eccentric
concentricity	eccentricity
conception	misconception
concern	unconcern
concerned	unconcerned
concerted_music	monody
concise	prolix
conclusive	inconclusive
conclusively	inconclusively
conditional	unconditional
conditionally	unconditionally
conditioned	innate
conductive	non-conducting
conductor	dielectric
confidence	diffidence
confident	diffident
confine	free
confined	invasive
confined	unconfined
confirm	contradict
confirmed	unconfirmed
confirming	disconfirming
conform	vary
conformation	noncompliance
conformism	nonconformance
conformist	nonconformist
conformity	nonconformism
confute	establish
congenial	incompatible
congeniality	uncongeniality
congruence	incongruousness
congruent	incongruent
congruent	incongruous
congruousness	incongruity
conjoin	disjoin
conjugation	disunion
conjunct	disjunct
conjunctive	disjunctive
connect	disconnect
connected	unconnected
connection	disjunction
connection	unconnectedness
connotative	denotative
conquerable	unconquerable
conscientious	unconscientious
conscientiousness	unconscientiousness
conscious	unconscious
consciously	unconsciously
consciousness	unconsciousness
conscript	voluntary
consecrate	desecrated
consecutive_operation	parallel_operation
consequence	inconsequence
consequentially	inconsequentially
conservative	liberal
conserve	squander
considerable	inconsiderable
considerate	inconsiderate
considerately	inconsiderately
considerateness	inconsiderateness
consistence	inconsistency
consistent	inconsistent
consistent	irreproducible
consistently	unsystematically
consolable	disconsolate
consonant	vowel
consonantal	vocalic
conspicuous	inconspicuous
conspicuously	inconspicuously
conspicuousness	inconspicuousness
constant	inconstant
constant-width_font	proportional_font
constipated	regular
constituted	unestablished
constitutional	unconstitutional
constitutionally	unconstitutionally
constricted	unconstricted
construction	misconstruction
constructive	destructive
constructiveness	destructiveness
consummated	unconsummated
consumptive	generative
contaminate	decontaminate
contaminated	uncontaminated
contamination	decontamination
contemptible	estimable
content	discontent
contentment	discontentedness
contestable	incontestable
contested	uncontested
continent	incontinent
continental	intercontinental
continual	sporadic
continuance	discontinuance
continuant	plosive
continuation	discontinuation
continue	discontinue
continued	discontinued
